,text
139,Kurzawa signing with Man U today for world record fee. Word Prem on the boarding ticket. Prem&gt;Premier League&gt;Left B… https://t.co/EbZiYbrZXj
148,"A great summary of the #EPLrights and @Amazon joining the mix. The more I look at it, the more the makeup of the De… https://t.co/65mZkiHNCt"
149,Any French residents know if SFR show every premier league match? Will I be able to watch all of Arsenal’s matches?
150,"Didn't even want Alisson and Fekir

Shaqiri and Butland better, premier league proven players"
159,"🏃 Eden Hazard has said he ""wants to know Chelsea's plans"" before he decides his future. 

Hazard who is in many eye… https://t.co/gfgHgniM2o"
161,Must have a hard week of negotiations ahead to buy a team in the Lawn Bowls Premier League for 2019. https://t.co/W7qm6meKeh
164,Fascinating insight into the economics of UK Premier League https://t.co/qjjKQscazk
166,"Summer of LeBron? Nah. 

More like summer of World Cup, US Open, Open Championship, Wimbledon, PGA Championship, Co… https://t.co/5mG6GNxI8f"
167,"implications for Korean ⚽️: possible higher FIFA ranking. In turn, the Premier League could see more players going… https://t.co/QcOKJFEdWH"
170,"If Mourinho fails to win the Premier League this season, he must be sacked!!! He has been backed big time by Woodward!!! #MUFC"
171,"Microdot The Soccer Player?

yes, Microdot nearly become a Soccer Player
When Microdot is still in New Zealand...He… https://t.co/HlzKa0GMqn"
172,"Oblaks 88 mil release clause should not be a problem with the money the club is making, particularly with more mone… https://t.co/iz480tZwVz"
173,PREMIER LEAGUE INTEREST: Liverpool in talks to sign Stoke City attacker for a cut-price deal of around £13.5m #LFC… https://t.co/X6sHB68to5
178,"Interesting analysis of Amazon PL deal

https://t.co/zFwVUqh1Eb"
179,BBC Sport - Premier League clubs to have weekend off in February from 2019-20 https://t.co/97L9IKBtpM what utter wo… https://t.co/GhptYHDOzN
181,"The @premierleague's winter break is a smart compromise - but one that leaves little room for innovation

⚽️👇

https://t.co/vV2CzOJK0i"
182,A good signing for Watford considering Deulofeu's contributions this past season. Will be a key player in the fight… https://t.co/y0PJJ5Bbqg
183,#CanPL wants a team in Quebec. Also confirmation that teams will be 80% Canadian - equivalent to 5 internationals o… https://t.co/jAkRO95LsC
184,"Fastest players to reach 50 Premier League assists:

MESUT ÖZIL: 141 games
Eric antona: 143 games
Dennis Bergkamp:… https://t.co/SkFE5TTG6j"
185,Former Premier League manager sues financial advisers https://t.co/GFzjvSTB6W via @FPTodayNews
188,"We are excited to announce the unveiling of our new European headquarters in Limerick, Ireland!

By 2020, STATS aim… https://t.co/zrGidbrjD9"
190,"The lowest ever Premier League attendance is 3,036. Wimbledon Vs Everton (1993). https://t.co/4RNESJtH3v"
193,2018-19 PL fixtures to be released on Thursday https://t.co/8OfzgfnDmh
195,and people wonder why we hate the premier league. https://t.co/NxQAsWaYXZ
198,Prime time: What does the Premier League’s deal with Amazon really mean? https://t.co/23aHRqn47u
202,"'Drogba told me to break the record - I said 'don't worry, I will!'' https://t.co/4njoyOQtUD"
203,"💥Fancy a free trip and tickets to a Premier League match next season?💥⚽ 

👉 https://t.co/mK15mBRvcj

#dfs #WC18 https://t.co/SQ6SjOUdSG"
